identidad_genero;diversidad_sexual;rubro;origen_del_capital;puesto;maximo_nivel_de_formacion;trabajo;libertad_ser;sufrio_acoso;edicion;diversa;manager
Hombre cis;No;Bancos y Finanzas;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Textil;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Función pública;Nacional;Gerente;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Función pública;Nacional;Gerente;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Tecnología;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Función pública;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Nacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Hotelería;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Gerente;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Función pública;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Si;Otros;Multinacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Hotelería;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;MInería;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Agro;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;MInería;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Función pública;Nacional;Gerente;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Función pública;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Construcción;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Si;Agro;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;1;1
Mujer cis;No;Comercio;Nacional;Responsable;Maestría abandonada;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Alimentos;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Construcción;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Multinacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Si;Alimentos;Nacional;Administrativo;"Universitario
abandonado";Relación de Dependencia;99;99;2020;1;0
Hombre cis;Si;Consultoría Freelance;NA;Consultor Freelance;Maestría completa;Freelance;99;99;2020;1;0
Hombre cis;No;Educación;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Agro;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Industrias químicas;Multinacional;HRBP;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Autopartista;Nacional;Gerente;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios Públicos;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Bancos y Finanzas;Nacional;Responsable;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Agro;Nacional;Analista;Terciario en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Industrias químicas;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;Si;Oil & Gas;Nacional;Responsable;Terciario en curso;Relación de Dependencia;99;99;2020;1;1
Mujer cis;No;Transporte;Nacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario completo;Freelance;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría en curso;Freelance;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría abandonada;Freelance;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;Terciario en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Alimentos;Multinacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Metalurgia;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Construcción;Nacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Nacional;Responsable;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Educación;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Autopartista;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Alimentos;Nacional;Gerente;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Hombre cis;No;Transporte;Nacional;Responsable;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Comercio;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Función pública;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;MInería;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Agro;Nacional;Responsable;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Administrativo;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Administrativo;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Textil;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Pasante;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Agro;Multinacional;Jefe;Doctorado en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Construcción;Nacional;Analista;Maestría abandonada;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Construcción;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Correos;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Servicios de salud;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;Si;Construcción;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Oil & Gas;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario completo;Freelance;99;99;2020;0;0
Hombre cis;No;Industrias químicas;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Oil & Gas;Multinacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario completo;Freelance;99;99;2020;0;0
Hombre cis;No;Construcción;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario en curso;Freelance;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Analista;Maestría abandonada;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Otros;Nacional;Gerente;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Textil;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Metalurgia;Nacional;Analista;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Industrias químicas;Multinacional;HRBP;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Consultoría;Multinacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Textil;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Multinacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Alimentos;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Textil;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios profesionales;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Comercio;Multinacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Correos;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Correos;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Bancos y Finanzas;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Multinacional;Responsable;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Agro;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Construcción;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Textil;Multinacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios profesionales;Multinacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Oil & Gas;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Transporte;Nacional;Responsable;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Construcción;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Jefe;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Si;Otros;Nacional;Analista;"Universitario
abandonado";Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Bancos y Finanzas;Multinacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios profesionales;Nacional;Administrativo;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Metalurgia;Multinacional;Gerente;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Construcción;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Administrativo;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría en curso;Freelance;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Responsable;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario completo;Freelance;99;99;2020;0;0
Hombre cis;No;Autopartista;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Tecnología;Multinacional;Analista;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Correos;Multinacional;Analista;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Alimentos;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Autopartista;Multinacional;Gerente;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Autopartista;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario en curso;Freelance;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría abandonada;Freelance;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario completo;Freelance;99;99;2020;0;0
Hombre cis;No;Comercio;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Multinacional;Responsable;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios profesionales;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Construcción;Nacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;MInería;Nacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Hombre cis;Si;Bancos y Finanzas;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Tecnología;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;Prefiero no responder;Transporte;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;HRBP;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Administrativo;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Correos;Multinacional;Jefe;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario en
curso";Freelance;99;99;2020;0;0
Mujer cis;No;Alimentos;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Oil & Gas;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Transporte;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios Públicos;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Otros;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Correos;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Multinacional;Analista;Maestría en curso;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Consultoría;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Educación;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios Públicos;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;Gerente;Maestría abandonada;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Función pública;Nacional;Responsable;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Multinacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Comercio;Nacional;Responsable;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría;Nacional;Analista;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Responsable;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Correos;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
completo";Freelance;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Construcción;Nacional;Responsable;Maestría abandonada;Relación de Dependencia;99;99;2020;0;1
Hombre cis;Prefiero no responder;Otros;Multinacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Terciario completo;Freelance;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Hotelería;Nacional;Responsable;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Autopartista;Multinacional;HRBP;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Autopartista;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Jefe;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Comercio;Nacional;Analista;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Transporte;Multinacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Función pública;Nacional;Analista;Maestría abandonada;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Autopartista;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Función pública;Nacional;Administrativo;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Textil;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Responsable;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Servicios de salud;Nacional;HRBP;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Tecnología;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Educación;Nacional;Analista;"Universitario
abandonado";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
abandonado";Freelance;99;99;2020;0;0
Mujer cis;No;Oil & Gas;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Hombre cis;Si;Consultoría;Multinacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;1;0
Hombre cis;No;Otros;Multinacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;Si;Autopartista;Nacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;1;1
Hombre cis;No;Transporte;Nacional;Jefe;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Función pública;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Bancos y Finanzas;Multinacional;Jefe;Maestría completa;Relación de Dependencia;99;99;2020;0;1
Hombre cis;No;Otros;Nacional;Responsable;Terciario completo;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Otros;Nacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Agro;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Otros;Nacional;Jefe;Maestría en curso;Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;MInería;Multinacional;HRBP;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Administrativo;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Servicios de salud;Nacional;Responsable;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Alimentos;Multinacional;Pasante;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
